,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,68.0,45,75,16.11,AU,1612661779
1,Punta Arenas,-53.15,-70.9167,51.8,66,0,17.27,CL,1612661595
2,George Town,5.4112,100.3354,80.6,83,20,2.3,MY,1612661728
3,Puerto Ayora,-0.7393,-90.3518,77.0,93,50,6.69,EC,1612661537
4,Carnarvon,-24.8667,113.6333,84.2,100,40,13.8,AU,1612661784
5,Port Alfred,-33.5906,26.891,68.0,87,33,5.01,ZA,1612661786
6,Ribeira Grande,38.5167,-28.7,61.14,88,95,21.88,PT,1612661540
7,Bathsheba,13.2167,-59.5167,77.0,73,20,11.5,BB,1612661789
8,Torbay,47.6666,-52.7314,43.0,93,75,24.16,CA,1612661790
9,Hermanus,-34.4187,19.2345,66.99,93,98,1.01,ZA,1612661722
10,Bluff,-46.6,168.3333,61.45,71,0,7.96,NZ,1612661793
11,Nikel,69.4128,30.222,24.8,86,75,26.46,RU,1612661794
12,Ushuaia,-54.8,-68.3,50.0,76,75,12.66,AR,1612661550
13,Kapaa,22.0752,-159.319,73.99,49,40,6.91,US,1612661797
14,Gizo Government Station,-8.103,156.8419,82.58,73,100,2.44,SB,1612661798
15,Rikitea,-23.1203,-134.9692,78.78,69,73,10.56,PF,1612661635
16,Albany,42.6001,-73.9662,26.01,46,0,2.91,US,1612661801
17,Mataura,-46.1927,168.8643,81.88,46,13,1.63,NZ,1612661803
18,Half Moon Bay,37.4636,-122.4286,64.4,76,1,6.91,US,1612661804
19,Luanda,-8.8368,13.2343,78.8,83,75,4.61,AO,1612661729
20,Verkhnyaya Sinyachikha,57.976,61.6673,-1.89,92,100,11.5,RU,1612661807
21,Nouadhibou,20.931,-17.0347,60.8,72,0,16.11,MR,1612661808
22,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,19.57,CA,1612661810
23,Atuona,-9.8,-139.0333,79.99,80,73,18.21,PF,1612661811
24,San Ramon,37.7799,-121.978,64.4,25,1,8.05,US,1612661813
25,Atar,20.5169,-13.0499,57.7,39,47,12.48,MR,1612661814
26,Kuytun,54.3419,101.5036,10.04,93,100,5.61,RU,1612661816
27,Qiyang,26.5911,111.8474,64.81,57,57,0.74,CN,1612661817
28,Bahile,9.9995,118.7878,86.0,70,20,13.8,PH,1612661819
29,Caravelas,-17.7125,-39.2481,78.15,86,100,10.42,BR,1612661820
30,Cape Town,-33.9258,18.4232,70.0,83,20,11.5,ZA,1612661689
31,Havelock,34.8791,-76.9013,45.0,65,90,9.22,US,1612661823
32,Turukhansk,65.8167,87.9833,-5.21,88,98,9.44,RU,1612661824
33,Yellowknife,62.456,-114.3525,-40.0,74,1,3.44,CA,1612661769
34,Masunga,-20.6246,27.4488,66.63,87,87,7.99,BW,1612661827
35,Cururupu,-1.8283,-44.8683,76.62,89,82,3.31,BR,1612661828
36,Santa Cruz do Capibaribe,-7.9575,-36.2047,72.5,80,87,5.68,BR,1612661830
37,Tasiilaq,65.6145,-37.6368,33.8,55,82,28.77,GL,1612661831
38,Hilo,19.7297,-155.09,78.8,53,75,5.75,US,1612661781
39,Butaritari,3.0707,172.7902,80.98,81,71,20.78,KI,1612661834
40,Samarai,-10.6167,150.6667,86.45,68,51,4.09,PG,1612661836
41,Leningradskiy,69.3833,178.4167,-10.28,74,0,5.77,RU,1612661837
42,Gambēla,8.25,34.5833,72.81,22,37,2.28,ET,1612661838
43,Port Macquarie,-31.4333,152.9167,84.99,53,100,1.99,AU,1612661840
44,Broome,42.2506,-75.833,24.8,33,1,3.44,US,1612661841
45,New Norfolk,-42.7826,147.0587,68.0,45,39,3.0,AU,1612661843
46,Lebu,-37.6167,-73.65,58.15,94,83,1.86,CL,1612661817
47,Zharkovskiy,55.849,32.2697,1.42,93,92,7.16,RU,1612661846
48,East London,-33.0153,27.9116,72.7,87,75,17.58,ZA,1612661570
49,Ulcinj,41.9294,19.2244,46.4,93,0,3.44,ME,1612661625
50,Khatanga,71.9667,102.5,-35.28,78,0,8.55,RU,1612661850
51,Alice Springs,-23.7,133.8833,87.01,26,4,14.97,AU,1612661851
52,Saint-Philippe,-21.3585,55.7679,78.8,73,75,6.91,RE,1612661853
53,Hambantota,6.1241,81.1185,71.6,100,20,1.14,LK,1612661854
54,Port Elizabeth,-33.918,25.5701,69.8,78,0,19.57,ZA,1612661562
55,Shostka,51.863,33.4698,-4.13,92,0,6.78,UA,1612661857
56,Saskylakh,71.9167,114.0833,-42.0,78,24,7.58,RU,1612661858
57,Luang Prabang,19.8856,102.1347,62.6,88,0,0.72,LA,1612661860
58,Cedar City,37.6775,-113.0619,44.6,26,1,8.05,US,1612661861
59,Borodino,55.9106,94.8983,17.29,94,100,6.24,RU,1612661862
60,Namatanai,-3.6667,152.4333,86.16,63,86,6.6,PG,1612661864
61,Flinders,-34.5833,150.8552,82.99,65,3,4.0,AU,1612661865
62,Zhuanghe,39.7008,122.9911,27.09,74,0,12.55,CN,1612661867
63,Kidal,18.4411,1.4078,70.9,19,100,11.3,ML,1612661659
64,Dalvik,65.9702,-18.5286,33.8,69,75,5.75,IS,1612661609
65,Nikolskoye,59.7035,30.7861,10.4,85,90,20.13,RU,1612661871
66,Thompson,55.7435,-97.8558,-27.4,68,40,12.66,CA,1612661818
67,Busselton,-33.65,115.3333,62.01,96,100,1.99,AU,1612661874
68,Chokurdakh,70.6333,147.9167,-21.35,86,98,4.23,RU,1612661875
69,Arraial do Cabo,-22.9661,-42.0278,75.13,83,100,4.81,BR,1612661877
70,Rome,43.2128,-75.4557,19.4,58,1,5.1,US,1612661878
71,Avarua,-21.2078,-159.775,86.0,66,17,10.36,CK,1612661879
72,Burnie,-41.0667,145.9167,71.01,85,2,5.01,AU,1612661881
